word,language,length,frequency,difficulty,clue,source,source_license,lemma
fr,fr,2,100000,,Thème,bliss,CC0-1.0,
us,fr,2,100000,,Thème,bliss,CC0-1.0,
uk,fr,2,100000,,Thème,bliss,CC0-1.0,
gb,fr,2,100000,,Thème,bliss,CC0-1.0,
de,fr,2,100000,,Thème,bliss,CC0-1.0,
it,fr,2,100000,,Thème,bliss,CC0-1.0,
ch,fr,2,100000,,Thème,bliss,CC0-1.0,
nl,fr,2,100000,,Thème,bliss,CC0-1.0,
pt,fr,2,100000,,Thème,bliss,CC0-1.0,
ru,fr,2,100000,,Thème,bliss,CC0-1.0,
cn,fr,2,100000,,Thème,bliss,CC0-1.0,
jp,fr,2,100000,,Thème,bliss,CC0-1.0,
mx,fr,2,100000,,Thème,bliss,CC0-1.0,
ca,fr,2,100000,,Thème,bliss,CC0-1.0,
in,fr,2,100000,,Thème,bliss,CC0-1.0,
ma,fr,2,100000,,Thème,bliss,CC0-1.0,
fra,fr,3,100000,,Thème,bliss,CC0-1.0,
usa,fr,3,100000,,Thème,bliss,CC0-1.0,
ita,fr,3,100000,,Thème,bliss,CC0-1.0,
deu,fr,3,100000,,Thème,bliss,CC0-1.0,
esp,fr,3,100000,,Thème,bliss,CC0-1.0,
jpn,fr,3,100000,,Thème,bliss,CC0-1.0,
chn,fr,3,100000,,Thème,bliss,CC0-1.0,
rus,fr,3,100000,,Thème,bliss,CC0-1.0,
bra,fr,3,100000,,Thème,bliss,CC0-1.0,
arg,fr,3,100000,,Thème,bliss,CC0-1.0,
can,fr,3,100000,,Thème,bliss,CC0-1.0,
mar,fr,3,100000,,Thème,bliss,CC0-1.0,
